CONTRACT_ID,ENTITY_NAME,DEPARTMENT,MUNICIPALITY_TYPE,PROCESS_TYPE,CONTRACT_OBJECT,OBJETC_DETAIL,ESTIMATED_COST_ORIG,CONTRACT_VALUE_ORIG,ADDITIONAL_COST_ORIG,FINAL_COST_ORIG,YEAR,CONTRACT_DATE,START_DATE,ORIGINAL_DEADLINE,END_DATE,ID_ADJUDICACION,URLPROCESO,NIT_ENTIDAD,ID_CONTRATISTA,dpto_y_muni_contratista,MUNICIPALITY,ESTIMATED_COST_NORM,CONTRACT_VALUE_NORM,ADDITIONAL_COST_NORM,FINAL_COST_NORM,ADDITIONAL_TIME,FINAL_DEADLINE,PROJECT_INTENSITY_NORM,PROJECT_INTENSITY_ORIG,AWARD_GROWTH_NORM,AWARD_GROWTH_ORIG,COST_DEVIATION_ORIG,COST_DEVIATION_NORM,TIME_DEVIATION,OWNER,REGION,GROUP,COST_GROUP_QUANTILE
17-1-169526-6051068,INSTITUTO NACIONAL DE VAS INVIAS,BOGOT DC,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO Y MANTENIMIENTO DE LA CARRETERA OCANA - LA ONDINA - LLANO GRANDE - 10 CONVENCION; PR10+0000 - PR11+0000 Y PR13+0000 - PR15+0000; DEPARTAMENTO DE NORTE DE 11 SANTANDER,3500000000.0,3436087973.0,0.0,3436087973.0,2017.0,2017-05-30,2017-08-01,150.0,2018-02-01,6051068,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-169526'},800215807,901080342,Bogotá D.C.,Bogot DC,4744.366742260243,4657.731857880461,0.0,4657.731857880461,30.0,180.0,31.05154571920307,22907253.153333332,-1.8260579142857107,-1.8260579142857143,0.0,0.0,0.2,OTHER,OTRA,Vias Rurales hasta 2020,4
18-21-6976-8019515,CUNDINAMARCA  ALCALDIA MUNICIPIO DE TOCANCIPA,CUNDINAMARCA,TYPE_5,LICITACIÓN OBRA PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",PAVIMENTACION DE VIAS RURALES DEL MUNICIPIO DE TOCANCIPA,6795555556.0,6789851951.0,2369134528.0,9158986479.0,2018.0,2018-12-28,2018-12-28,270.0,2020-05-28,8019515,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6976'},800093439-1,901241053,Cundinamarca,Tocancipá,8698.400183297877,8691.09949413882,3032.5232488780684,11723.62274301689,240.0,510.0,32.189257385699335,25147599.81851852,-0.08393140123715978,-0.08393140123715295,0.34892285503383874,0.3489228550338388,0.8888888888888888,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,4
15-1-145012-4145172,CORDOBA  ALCALDIA MUNICIPIO DE BUENAVISTA,CÓRDOBA,TYPE_5,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",REHABILITACION DE LA RED VIAL TERCIARIA EL PARAISO ¿ CANIME DE LA ZONA RURAL DEL MUNICIPIO DE BUENAVISTA; DEPARTAMENTO DE CORDOBA,275000000.0,272937928.0,130146554.0,403084482.0,2015.0,2015-09-10,2015-09-18,90.0,2016-01-18,4145172,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145012'},800096739,9001948080,Antioquia,Buenavista,426.78668425545123,423.5864483588112,201.9811499961201,625.5675983549313,30.0,120.0,4.70651609287568,3032643.644444444,-0.7498443636363668,-0.7498443636363636,0.47683572214998277,0.47683572214998277,0.3333333333333333,MUNICIPALITY,CARIBE,Vias Rurales hasta 2020,2
16-1-161843-5203911,INSTITUTO NACIONAL DE VAS INVIAS,BOGOT DC,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",¿MANTENIMIENTO RUTINARIO VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS DIRECCION TERRITORIAL BOYACA.,13136431993.0,481597333.0,123035622.0,604632955.0,2016.0,2016-10-14,2016-11-05,600.0,2018-12-05,5203911,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-161843'},800215807,800182017,Boyacá,Bogot DC,19053.356626610876,698.5188779543263,178.45344801328585,876.972325967612,150.0,750.0,1.164198129923877,802662.2216666667,-96.33388020996394,-96.33388020996395,0.255474051805017,0.2554740518050168,0.25,OTHER,OTRA,Vias Rurales hasta 2020,2
17-1-173247-6786007,CORDOBA  ALCALDIA MUNICIPIO DE PUEBLO NUEVO,CÓRDOBA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE PLACA HUELLA EN EL CORREGIMIENTO DE BETANIA SECTOR LONDRES Y SECTOR VILLA ESPERANZA MUNICIPIO DE PUEBLO NUEVO; DEPARTAMENTO DE CORDOBA,253087431.0,253018116.0,0.0,253018116.0,2017.0,2017-06-12,2017-06-12,90.0,2017-09-12,6786007,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-173247'},800096766,900778530,Córdoba,Pueblo Nuevo,343.06845443442404,342.97449563992694,0.0,342.97449563992694,0.0,90.0,3.8108277293325217,2811312.4,-0.027387768616615227,-0.027387768616609014,0.0,0.0,0.0,MUNICIPALITY,CARIBE,Vias Rurales hasta 2020,1
17-1-183227-7150408,SANTANDER  ALCALDIA MUNICIPIO DE EL CARMEN DE CHUCURI,SANTANDER,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE VIAS TERCIARIAS MEDIANTE EL USO DE PLACA HUELLAS EN EL CARMEN DE CHUCURI SANTANDER,1511150516.0,1508496112.0,0.0,1508496112.0,2018.0,2018-01-17,2018-03-05,150.0,2018-08-05,7150408,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-183227'},No Definido,901142049,Santander,El Carmen de Chucurí,1934.2924676348687,1930.8947957227083,0.0,1930.8947957227083,0.0,150.0,12.872631971484722,10056640.746666666,-0.1756545077340262,-0.1756545077340264,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,3
15-1-141450-3860117,CAUCA  GOBERNACION,CAUCA,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DEL PAVIMENTO DE LA VIA 25CC03 EL ESTRECHO-BALBOA-ARGELIA EN EL SECTOR ENTRE EL PR60+255 Y EL PR65+255 MUNICIPIO DE ARGELIA; CAUCA; OCCIDENTE,8523738041.0,8416941407.0,0.0,8416941407.0,2015.0,2015-08-26,2015-08-31,180.0,2016-02-29,3860117,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141450'},No Definido,51992221,Cundinamarca,Popayán,13228.428712656165,13062.685507876155,0.0,13062.685507876155,0.0,180.0,72.57047504375642,46760785.594444446,-1.2529319118712652,-1.2529319118712696,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,PACIFICA,Vias Rurales hasta 2020,4
17-1-178445-7275007,CUNDINAMARCA  ALCALDIA MUNICIPIO DE SUBACHOQUE,CUNDINAMARCA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO;  ADECUACION Y PAVIMENTACION DE LAS VIAS LA PRADERA - GUAMAL; VIA PRINCIPAL PANTANO DE ARCE; VIA PRINCIPAL SECTOR SANTA RITA DEL MUNICIPIO DE SUBACHOQUE,1589020859.0,1589020859.0,0.0,1589020859.0,2017.0,2017-09-28,2017-10-30,90.0,2018-01-30,7275007,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-178445'},891180191-2,9010403842,Cundinamarca,Subachoque,2153.970776056401,2153.970776056401,0.0,2153.970776056401,0.0,90.0,23.933008622848902,17655787.32222222,0.0,0.0,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,3
19-21-12773-9208163,BOYACA  ALCALDIA MUNICIPIO DE FIRAVITOBA,BOYACÁ,TYPE_6,LICITACIÓN OBRA PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE LA VIA SECUNDARIA DEPARTAMENTAL 61 BYA; PASO POR FIRAVITOBA EN EL TRAMO DE LA BOMBA TERPEL HASTA EL PUENTE PESCA; DEPARTAMENTO BOYACA,3771338419.0,3737726851.0,0.0,3737726851.0,2019.0,2019-10-31,2019-11-18,6.0,2020-01-08,9208163,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12773'},890001339-5,901335273,Bolívar,Firavitoba,4554.118528080607,4513.530533162021,0.0,4513.530533162021,45.0,51.0,752.2550888603369,622954475.1666666,-0.8912371223612374,-0.8912371223612537,0.0,0.0,7.5,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,4
16-1-165152-5432603,CUNDINAMARCA  ALCALDIA MUNICIPIO DE TOCANCIPA,CUNDINAMARCA,TYPE_5,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION; REHABILITACION; AMPLIACION DE LA VIA DE PIEDEMONTE; VEREDA CANAVITA MUNICIPIO DE TOCANCIPA,14000000000.0,13971578090.0,6971817467.0,20943395557.0,2016.0,2016-12-23,2016-12-23,360.0,2018-08-23,5432603,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-165152'},800093439-1,901037219,Cundinamarca,Tocancipá,20305.89378567129,20264.6700509823,10112.070355570704,30376.740406553003,255.0,615.0,56.290750141617494,38809939.13888889,-0.2030136428571376,-0.20301364285714285,0.4990000000064416,0.4990000000064416,0.7083333333333334,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,4
15-1-142996-4001151,AGENCIA PARA LA INFRAESTRUCTURA DEL META  AIM,META,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE LAS VIAS DEL SECTOR CANEY MEDIO EN EL MUNICIPIO DE CUMARAL; META. ORINOQUIA.,6577373598.0,6574978453.0,0.0,6574978453.0,2015.0,2015-10-20,2016-03-07,210.0,2016-11-07,4001151,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142996'},900220547,900 894 1301,Meta,Villavicencio,10207.765341817336,10204.048192752387,0.0,10204.048192752387,45.0,255.0,48.59070567977327,31309421.204761904,-0.036414914924828366,-0.036414914924831066,0.0,0.0,0.21428571428571427,DEPARTMENT_GOVERNMENT,ORINOQUIA,Vias Rurales hasta 2020,4
15-1-148821-6430156,VALLE DEL CAUCA  ALCALDIA MUNICIPIO DE LA UNION,VALLE DEL CAUCA,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE PAVIMENTO RIGIDO EN LA CL 13 CR 23A A 23B; B/ PRADOS DEL NORTE 2 TRAMOS; PASAJE CL 12A CRA 10 Y CL 25 CR16; 15A Y 15 LA UNION; VALLE DEL CAUCA,285341776.0,285151179.0,0.0,285151179.0,2015.0,2015-11-18,2015-12-14,60.0,2016-03-13,6430156,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-148821'},800100523,10543754,Valle del Cauca,La Unión,442.8366198494607,442.54082253433694,0.0,442.54082253433694,30.0,90.0,7.375680375572283,4752519.65,-0.06679603760509195,-0.06679603760509292,0.0,0.0,0.5,MUNICIPALITY,PACIFICA,Vias Rurales hasta 2020,1
18-1-193202-8963721,BOYACA  ALCALDIA MUNICIPIO DE RAQUIRA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION PAVIMENTO FLEXIBLE SECTOR ESCUELA FIRITA PENA ARRIBA DEL  MUNICIPIO DE RAQUIRA - BOYACA,358606049.0,358480829.0,0.0,358480829.0,2018.0,2018-08-27,2018-09-13,90.0,2018-12-12,8963721,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-193202'},891801280-6,7174848,Boyacá,Ráquira,459.0204430893372,458.86015984803686,0.0,458.86015984803686,0.0,90.0,5.098446220533743,3983120.322222222,-0.034918540930685145,-0.03491854093069133,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,1
16-1-162838-5362768,CASANARE  ALCALDIA MUNICIPIO DE TAURAMENA,CASANARE,TYPE_5,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO Y MANTENIMIENTO VIA CRUCE LOS LOBOS- ESMERALDA-COROCITO; VIA CRUCE PTO MIRIAM- TUNUPE- CARUPANA- OROCUECITO; Y VIA PROVIDENCIA - ANGOSTURA; MUNICIPIO DE TAURAMENA CASANARE,1090954000.0,1090949920.0,318424731.0,1409374651.0,2016.0,2016-12-06,2016-12-15,150.0,2017-05-15,5362768,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-162838'},800012873,901029159,Casanare,Tauramena,1582.3425749323742,1582.3366572147565,461.84991188692516,2044.1865691016817,0.0,150.0,10.548911048098377,7272999.466666667,-0.0003739846043074422,-0.0003739846043004563,0.29187841271394016,0.29187841271394016,0.0,MUNICIPALITY,ORINOQUIA,Vias Rurales hasta 2020,3
15-1-145313-4012492,BOLIVAR  GOBERNACION,BOLÍVAR,OTHER,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",REHABILITACION Y MANTENIMIENTO DE 23;5 DE LA VIA LA LINEA: CRUCE 90 (CARRETERA LA CORDIALIDAD)- SANTA ROSA DE LIMA - VILLANUEVA - SAN ESTANISLAO. DEPARTAMENTO DE BOLIVAR,18324584045.0,17986013830.0,0.0,17986013830.0,2015.0,2015-10-30,2015-11-10,240.0,2016-07-10,4012492,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145313'},No Definido,73575084,Bolívar,Cartagena,28438.86714518507,27913.42256537596,0.0,27913.42256537596,0.0,240.0,116.30592735573317,74941724.29166667,-1.8476283781862002,-1.8476283781861964,0.0,0.0,0.0,DEPARTMENT_GOVERNMENT,CARIBE,Vias Rurales hasta 2020,4
15-1-140366-3858144,CASANARE  ALCALDIA MUNICIPIO DE TAURAMENA,CASANARE,TYPE_5,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO DE VIAS INTERNAS DEL CENTRO POBLADO TUNUPE ETAPA 1; MUNICIPIO DE TAURAMENA; DEPARTAMENTO DE CASANARE.,569999170.0,569997196.0,0.0,569997196.0,2015.0,2015-08-25,2015-09-29,120.0,2016-01-29,3858144,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140366'},800012873,9008750278,Casanare,Tauramena,884.6111119733064,884.6080484208893,0.0,884.6080484208893,0.0,120.0,7.371733736840744,4749976.633333334,-0.0003463162937486628,-0.0003463162937588137,0.0,0.0,0.0,MUNICIPALITY,ORINOQUIA,Vias Rurales hasta 2020,2
19-21-14136-9194408,SANTANDER  ALCALDIA MUNICIPIO DE SAN JOAQUIN,SANTANDER,TYPE_6,LICITACIÓN OBRA PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",MEJORAMIENTO CON PLACA HUELLA DE VIAS TERCIARIAS DE LA VEREDA SAN CAYETANO DEL MUNICIPIO DE SAN JOAQUIN.,469844650.0,459026270.0,0.0,459026270.0,2019.0,2019-11-06,2019-11-14,46.0,2019-12-30,9194408,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-14136'},890920814-5,820003227,Santander,San Joaquín,567.3657434465703,554.3018973187332,0.0,554.3018973187332,0.0,46.0,12.050041246059417,9978831.956521738,-2.3025440430150597,-2.302544043015069,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,1
15-1-145201-3925911,BOYACA  ALCALDIA MUNICIPIO DE RAQUIRA,BOYACÁ,TYPE_6,LICITACIÓN PÚBLICA,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VÍAS",CONSTRUCCION DE 1 TRAMO DE PLACA HUELLA EN CONCRETO REFORZADO EN LA VIA MONASTERIO DE LA CANDELARIA AL SITIO LA ISLA Y OTRO TRAMO DE PAVIMENTO EN PIEDRA TALLADA EN EL CENTRO POBLADO DE LA CANDELARIA DEL MUNICIPIO DE RAQUIRA - BOYACA.,663735688.0,663733452.0,0.0,663733452.0,2015.0,2015-09-22,2015-09-23,90.0,2015-12-22,3925911,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-145201'},891801280-6,9008910291  6769306,Boyacá,Ráquira,1030.085649103748,1030.082178940017,0.0,1030.082178940017,0.0,90.0,11.445357543777966,7374816.133333334,-0.0003368810869271076,-0.00033688108691844215,0.0,0.0,0.0,MUNICIPALITY,ANDINA,Vias Rurales hasta 2020,2
